Hotel ID,Reviewer Name,Score,Hotel_id,Reviewer_id
10_1,Dang_1,9.2,338.0,72.0
10_1,HANJU_1,7.6,338.0,963.0
10_1,한형_1,7.6,338.0,1529.0
10_1,훈앤후_1,7.2,338.0,1531.0
10_10,Diệu_1,10.0,296.0,366.0
10_10,Han_1,10.0,296.0,209.0
10_10,JOOHWAN_1,9.2,296.0,1742.0
10_10,Minh_1,10.0,296.0,2.0
10_10,Sơn_1,8.4,296.0,232.0
10_10,suyong_1,8.8,296.0,2280.0
10_10,김재광_1,8.8,296.0,2329.0
10_10,안정민[_1,9.6,296.0,2350.0
10_12,Adam_1,9.6,2.0,652.0
10_12,Ahreum_1,10.0,2.0,761.0
10_12,Akhoun_1,10.0,2.0,3941.0
10_12,Aljoscha_1,10.0,2.0,3964.0
10_12,An_1,9.2,2.0,45.0
10_12,Anastasiia_1,10.0,2.0,2409.0
10_12,Andreas_1,9.6,2.0,654.0
10_12,Andreas_2,9.2,2.0,3989.0
10_12,Anh_1,10.0,2.0,6.0
10_12,Anh_2,10.0,2.0,55.0
10_12,Anjali_1,10.0,2.0,4008.0
10_12,Aron_1,8.4,2.0,4032.0
10_12,Ben_1,10.0,2.0,581.0
10_12,Beth_1,9.2,2.0,4140.0
10_12,Binh_1,9.6,2.0,152.0
10_12,Byongho_1,7.6,2.0,4193.0
10_12,C_1,10.0,2.0,1582.0
10_12,Camilo_1,10.0,2.0,4303.0
10_12,Chu_1,10.0,2.0,294.0
10_12,Chung_1,10.0,2.0,364.0
10_12,Cole_1,10.0,2.0,2516.0
10_12,Colten_1,10.0,2.0,2519.0
10_12,Colten_2,10.0,2.0,4452.0
10_12,Cris_1,8.4,2.0,4463.0
10_12,DOAN_1,8.8,2.0,945.0
10_12,Danielle_1,8.4,2.0,948.0
10_12,Dao_1,8.8,2.0,154.0
10_12,Dao_2,9.2,2.0,949.0
10_12,Deni_1,9.6,2.0,4588.0
10_12,Dennis_1,10.0,2.0,1185.0
10_12,Dipti_1,10.0,2.0,4608.0
10_12,Diu_1,8.4,2.0,4610.0
10_12,Do_1,9.2,2.0,113.0
10_12,Doug_1,9.2,2.0,1190.0
10_12,Dufay_1,8.4,2.0,4647.0
10_12,Dung_1,10.0,2.0,40.0
10_12,Dương_1,10.0,2.0,60.0
10_12,FRANK_1,10.0,2.0,4790.0
10_12,Gerard_1,10.0,2.0,1204.0
